account_id,assists,avatar,avatarfull,avatarmedium,cheese,country_code,deaths,denies,fantasy_role,fh_unavailable,full_history_time,gold_per_min,is_locked,is_pro,kda,kills,last_hits,last_login,last_match_time,loccountrycode,locked_until,main_role,name,personaname,profileurl,steamid,team_id,team_name,team_tag,xp_per_min
8591574,,https://steamcdn-a.akamaihd.net/steamcommunity/public/images/avatars/b2/b29b06567a00286d369564b5778497b50ea8d5b8.jpg,https://steamcdn-a.akamaihd.net/steamcommunity/public/images/avatars/b2/b29b06567a00286d369564b5778497b50ea8d5b8_full.jpg,https://steamcdn-a.akamaihd.net/steamcommunity/public/images/avatars/b2/b29b06567a00286d369564b5778497b50ea8d5b8_medium.jpg,0.0,us,,,2,False,2016-04-13T05:56:17.778Z,,True,True,,,,2016-04-11T05:58:44.228Z,2017-07-28T22:34:43.000Z,US,1502694000,,DurpDurp,Peanut Bruddah,http://steamcommunity.com/profiles/76561197968857302/,76561197968857302,1905619,Wheel Whreck While Whistling,Wheel,
8712306,,https://steamcdn-a.akamaihd.net/steamcommunity/public/images/avatars/33/33a254a642736a04287b0b4e9292da76bd318532.jpg,https://steamcdn-a.akamaihd.net/steamcommunity/public/images/avatars/33/33a254a642736a04287b0b4e9292da76bd318532_full.jpg,https://steamcdn-a.akamaihd.net/steamcommunity/public/images/avatars/33/33a254a642736a04287b0b4e9292da76bd318532_medium.jpg,0.0,fi,,,1,False,2017-01-29T00:45:02.752Z,,True,True,,,,,2017-05-26T15:55:21.000Z,FI,1502694000,,Trixi,Mitsuha Miyamizu,http://steamcommunity.com/profiles/76561197968978034/,76561197968978034,3729377,Ninjas in Pyjamas,NiP,
9001210,,,,,,us,,,2,,,,False,True,,,,,,,0,,ChrisC,,,,514377,ChrisTest10,CT10test,
10019586,,https://steamcdn-a.akamaihd.net/steamcommunity/public/images/avatars/6e/6e4a1d802710d3b9502ef35636f8bbacb255dc59.jpg,https://steamcdn-a.akamaihd.net/steamcommunity/public/images/avatars/6e/6e4a1d802710d3b9502ef35636f8bbacb255dc59_full.jpg,https://steamcdn-a.akamaihd.net/steamcommunity/public/images/avatars/6e/6e4a1d802710d3b9502ef35636f8bbacb255dc59_medium.jpg,0.0,us,,,0,False,2017-04-24T09:36:41.240Z,,False,True,,,,2017-05-17T19:48:00.162Z,2017-07-18T03:41:32.000Z,US,1471168800,,malachamavet,Malachamavet,http://steamcommunity.com/id/Malachamavet/,76561197970285314,3725701,Happy Feet,HF,
10366616,,https://steamcdn-a.akamaihd.net/steamcommunity/public/images/avatars/ee/ee42a838030c527ed0a80e278734c756ae71b8aa.jpg,https://steamcdn-a.akamaihd.net/steamcommunity/public/images/avatars/ee/ee42a838030c527ed0a80e278734c756ae71b8aa_full.jpg,https://steamcdn-a.akamaihd.net/steamcommunity/public/images/avatars/ee/ee42a838030c527ed0a80e278734c756ae71b8aa_medium.jpg,0.0,us,,,1,False,2017-01-23T23:13:59.049Z,,True,True,,,,2016-04-11T03:56:15.700Z,2017-07-29T01:40:29.000Z,,1502694000,,Sneyking,mode: Liquid.Bulba,http://steamcommunity.com/profiles/76561197970632344/,76561197970632344,4372042,Team Freedom,Freedom,
10516239,,https://steamcdn-a.akamaihd.net/steamcommunity/public/images/avatars/ea/ea62409565a477d9b779d2b56cbd49a0a5d0a213.jpg,https://steamcdn-a.akamaihd.net/steamcommunity/public/images/avatars/ea/ea62409565a477d9b779d2b56cbd49a0a5d0a213_full.jpg,https://steamcdn-a.akamaihd.net/steamcommunity/public/images/avatars/ea/ea62409565a477d9b779d2b56cbd49a0a5d0a213_medium.jpg,0.0,sg,,,1,False,2017-03-25T20:50:37.689Z,,True,True,,,,2017-03-25T20:49:43.533Z,2017-07-28T12:48:10.000Z,SG,1502694000,,ayy,www,http://steamcommunity.com/id/ay333/,76561197970781967,4424013,Ten Twenty,1020,
11550182,,https://steamcdn-a.akamaihd.net/steamcommunity/public/images/avatars/73/73504f26e4559b77117e8337672d1c3dff6684e2.jpg,https://steamcdn-a.akamaihd.net/steamcommunity/public/images/avatars/73/73504f26e4559b77117e8337672d1c3dff6684e2_full.jpg,https://steamcdn-a.akamaihd.net/steamcommunity/public/images/avatars/73/73504f26e4559b77117e8337672d1c3dff6684e2_medium.jpg,0.0,ru,,,2,False,2017-07-10T14:31:47.639Z,,True,True,,,,2016-09-06T07:38:29.909Z,2017-07-28T11:01:47.000Z,RU,1502694000,,VANSKOR,Johannes,http://steamcommunity.com/id/vanskor/,76561197971815910,2621843,Team. Spirit,TSpirit,
11865327,,https://steamcdn-a.akamaihd.net/steamcommunity/public/images/avatars/85/8567e5ca752f855ef6b48f61cfdfe877e0815188.jpg,https://steamcdn-a.akamaihd.net/steamcommunity/public/images/avatars/85/8567e5ca752f855ef6b48f61cfdfe877e0815188_full.jpg,https://steamcdn-a.akamaihd.net/steamcommunity/public/images/avatars/85/8567e5ca752f855ef6b48f61cfdfe877e0815188_medium.jpg,0.0,ru,,,1,False,2017-02-28T16:39:03.531Z,,True,True,,,,2017-02-28T16:30:11.405Z,2017-07-28T15:45:43.000Z,,1502694000,,Nix,Nix,http://steamcommunity.com/id/nixjke/,76561197972131055,4429098,M19,M19,
11929046,,https://steamcdn-a.akamaihd.net/steamcommunity/public/images/avatars/00/00a676b5eb2c1f2875bfa9fc29ad1c621cd45ada.jpg,https://steamcdn-a.akamaihd.net/steamcommunity/public/images/avatars/00/00a676b5eb2c1f2875bfa9fc29ad1c621cd45ada_full.jpg,https://steamcdn-a.akamaihd.net/steamcommunity/public/images/avatars/00/00a676b5eb2c1f2875bfa9fc29ad1c621cd45ada_medium.jpg,0.0,,,,2,False,2017-02-28T22:11:50.669Z,,False,True,,,,2017-05-17T21:48:58.432Z,2017-07-28T01:30:29.000Z,CA,1481500800,,04,wagner the bloodedge,http://steamcommunity.com/id/sdran06/,76561197972194774,2677025,,,
12231202,,https://steamcdn-a.akamaihd.net/steamcommunity/public/images/avatars/26/268bb8c9a694d9b51a609ef01988b36257e44f07.jpg,https://steamcdn-a.akamaihd.net/steamcommunity/public/images/avatars/26/268bb8c9a694d9b51a609ef01988b36257e44f07_full.jpg,https://steamcdn-a.akamaihd.net/steamcommunity/public/images/avatars/26/268bb8c9a694d9b51a609ef01988b36257e44f07_medium.jpg,0.0,se,,,1,False,2017-02-19T23:17:47.818Z,,True,True,,,,,2017-07-10T06:00:21.000Z,,1502694000,,Limmp,FEEL.,http://steamcommunity.com/profiles/76561197972496930/,76561197972496930,111474,Alliance,Alliance,
16317795,,https://steamcdn-a.akamaihd.net/steamcommunity/public/images/avatars/63/632c9c99bf1bb47b9d3c81fc31825f1f1f3ad99b.jpg,https://steamcdn-a.akamaihd.net/steamcommunity/public/images/avatars/63/632c9c99bf1bb47b9d3c81fc31825f1f1f3ad99b_full.jpg,https://steamcdn-a.akamaihd.net/steamcommunity/public/images/avatars/63/632c9c99bf1bb47b9d3c81fc31825f1f1f3ad99b_medium.jpg,0.0,br,,,2,False,2016-12-19T21:53:07.880Z,,False,True,,,,,2017-07-25T22:34:51.000Z,BR,0,,PAADA,PAADA,http://steamcommunity.com/id/PAADA/,76561197976583523,67,paiN Gaming,paiN,
16769223,,https://steamcdn-a.akamaihd.net/steamcommunity/public/images/avatars/e1/e1a74560d9780995e27b50c89058a57c83d9aa28.jpg,https://steamcdn-a.akamaihd.net/steamcommunity/public/images/avatars/e1/e1a74560d9780995e27b50c89058a57c83d9aa28_full.jpg,https://steamcdn-a.akamaihd.net/steamcommunity/public/images/avatars/e1/e1a74560d9780995e27b50c89058a57c83d9aa28_medium.jpg,0.0,fr,,,1,True,2015-12-12T12:35:28.512Z,,False,True,,,,2015-12-12T12:35:24.001Z,,,0,,Jean-Titouan,sad man with a tie,http://steamcommunity.com/id/radiobouffon/,76561197977034951,2831883,Que La Famille,QLF,
